,CHD,Diabetes,Alcohol,youth_edu_level
0,0,0,0,Never Attended / Kindergarten Only
1,0,0,0,1st Grade
2,0,0,0,2nd Grade
3,0,0,0,3rd Grade
4,0,0,0,4th Grade
5,0,0,0,5th Grade
6,0,0,0,6th Grade
7,0,0,0,7th Grade
8,0,0,0,8th Grade
9,0,0,0,9th Grade
10,0,0,0,10th Grade
11,0,0,0,11th Grade
12,0,0,0,"12th Grade, No Diploma"
13,0,0,0,High School Graduate
14,0,0,0,GED or Equivalent
15,0,0,0,More than high school
16,0,0,0,Less Than 5th Grade-3
17,0,0,0,Less Than 9th Grade-53
18,0,0,0,Refused
19,0,0,0,Don't know
20,534,894,966,Unknown
